Soru_ID,Baslik,Aciklama_No,Ornek_No,Ornek_Tipi,Senaryo,Soru,Kategori,Sik_Sayisi,A,B,C,D,Dogru_Sik,Dogru_Cevap,Dogru_Cevap_Gerekce,Kaynak_Yorum
11,Madde 5 Sakatlanma ve yardım,5-5,5-6,Örnek,"Madde 5 Sakatlanma ve yardım | 5-5
Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.
Örnek 5-6: B1, atış halindeki A1'e, A takımı sıra bölgesi alanı yakınında faul yapar. Top sepetten içeri girmez. A1, 2 ya da 3 serbest atış girişiminde bulunurken; (a) A takımının sıra bölgesinden bir yönetici veya A6, oyun sahasındaki herhangi diğer bir A takımı oyuncusuna bir havlu, bir su şişesi veya bir kafa bandı verir. (b) A takımının sıra bölgesinden bir fizyoterapist, oyun sahasındaki diğer bir A takımı oyuncusunun çıkmış olan bantlarını düzeltir, bacağına sprey sıkar veya boynuna masaj yapar, vb.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,"Her iki durumda da A takımı oyuncusu, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. A takımı oyuncusu için oyuncu değişikliği yapılması gerekmeyecektir. A1, 2 ya da 3 serbest atışını atmaya devam edecektir."
12,Madde 5 Sakatlanma ve yardım,5-5,5-7,Örnek,"Madde 5 Sakatlanma ve yardım | 5-5
Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.
Örnek 5-7: B1, atış halindeki A1'e, A takımı sıra bölgesi alanı yakınında faul yapar. Top sepetten içeri girmez. Faulden sonra A1, sahadaki takım sıra bölgesinin içerisine düşer düşer. A6 yerinden kalkar ve A1'in ayağa kalkmasına yardım eder. A1, en geç yaklaşık 15 saniye içinde hemen oynamaya hazırdır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,"A1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. A1 için oyuncu değişikliği yapılması gerekmeyecektir. A1, 2 ya da 3 serbest atış kullanacaktır."
13,Madde 5 Sakatlanma ve yardım,5-5,5-8,Örnek,"Madde 5 Sakatlanma ve yardım | 5-5
Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.
Örnek 5-8: A1'e 2 serbest atış hakkı verilir. Hakem faulü hakem masasına bildirirken A1 sahanın en uzağındaki takımının sıra bölgesinin önündeki bir yere gider ve bir havlu veya bir şişe su ister. Takımının sıra bölgesinden herhangi bir kişi A1'e bir havlu ya da bir şişe su verir. A1 havluyla ellerini kurular ya da su içer. A1, en geç yaklaşık 15 saniye içinde hemen oynamaya hazırdır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,"A1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. A1 için oyuncu değişikliği yapılması gerekmeyecektir. A1, 2 serbest atış kullanacaktır."
14,Madde 5 Sakatlanma ve yardım,5-5,5-9,Örnek,"Madde 5 Sakatlanma ve yardım | 5-5
Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.
Örnek 5-9: A1 başarılı bir şut atar. Topu oyuna sokan B1, hakeme topun ıslak olduğunu gösterir. Hakem oyunu durdurur. B takımının sıra bölgesinden herhangi biri oyun sahasına gelir ve topu kurular ya da topu kurulayacak olan B1'e bir havlu verir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,"Her iki durumda da B1, oyunun hemen yeniden başlatılmasını geciktiren bir yardım almamıştır. B1 için oyuncu değişikliği yapılması gerekmeyecektir. Oyun, doğrudan arkalığın arkası hariç dip çizginin gerisindeki herhangi bir yerden B takımının topu oyuna sokmasıyla devam edecektir. Hakem, topu oyuna sokması için topu B takımı oyuncusuna verecektir."
15,Madde 5 Sakatlanma ve yardım,5-5,5-10,Örnek,"Madde 5 Sakatlanma ve yardım | 5-5
Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.
Örnek 5-10: Top, kendi ön sahasından oyuna sokmak için A1’in ellerindedir. A takımı fizyoterapisti geri sahadaki takım sıra bölgesini terk eder, sahanın dışında kalır ve A1'in bantlarını düzeltir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,"A takımı fizyoterapisti A1'e, takım sıra bölgesi dışında bir yardım sağlamıştır. A1 için oyuncu değişikliği yapılması gerekecektir."
16,Madde 5 Sakatlanma ve yardım,5-5,5-11,Örnek,"Madde 5 Sakatlanma ve yardım | 5-5
Açıklama: Takımının sıra bölgesinde oturmasına izin verilen herhangi bir kişi, takım sıra bölgesinde kalmaya devam ederken kendi takımındaki bir oyuncuya yardım edebilir. Eğer bu yardım oyunun hemen yeniden başlatılmasını geciktirmezse bu oyuncunun bir yardım almamış olduğu kabul edilir ve oyuncu değişikliği yapılmasını gerektirmez.
Örnek 5-11: Top, kendi ön sahasından oyuna sokmak için henüz A1’in ellerinde değildir. A takımı fizyoterapisti ön sahadaki kendi takım sıra bölgesinde kalır ve A1'in bantlarını düzeltir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,"A takımı fizyoterapisti, A1'e takım sıra bölgesi içinde bir yardım sağlamıştır. Yardım 15 saniye içinde tamamlanırsa A1'in değiştirilmesi gerekmez. Yardım 15 saniyeden fazla sürerse, A1 için oyuncu değişikliği yapılması gerekecektir."
17,Madde 5 Sakatlanma ve yardım,5-12,5-13,Örnek,"Madde 5 Sakatlanma ve yardım | 5-12
Açıklama: Doktorun görüşüne göre sahada ciddi bir şekilde sakatlanan oyuncunun hareket ettirilmesi tehlikeliyse, sakatlanan oyuncunun sahadan çıkarılması için zaman limiti yoktur.
Örnek 5-13: A1, ciddi bir şekilde sakatlanır ve oyun 15 dakika kadar durur çünkü doktor, bu oyuncunun sahadan taşınmasının tehlikeli olacağını öngörmektedir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Sakatlanan oyuncunun sahadan ne zaman çıkarılacağını doktorun kararı belirleyecektir. Değişiklikten sonra oyun herhangi bir yaptırım uygulanmadan yeniden başla…,Yukarıdakilerin hiçbiri,,,A,Sakatlanan oyuncunun sahadan ne zaman çıkarılacağını doktorun kararı belirleyecektir. Değişiklikten sonra oyun herhangi bir yaptırım uygulanmadan yeniden başla…,,Sakatlanan oyuncunun sahadan ne zaman çıkarılacağını doktorun kararı belirleyecektir. Değişiklikten sonra oyun herhangi bir yaptırım uygulanmadan yeniden başlayacaktır.
18,Madde 5 Sakatlanma ve yardım,5-14,5-15,Örnek,"Madde 5 Sakatlanma ve yardım | 5-14
Açıklama: Bir oyuncu sakatlanır ya da kanaması veya açık yarası olur ve oyuna hemen (yaklaşık 15saniye içinde) devam edemezse, ya da takım sıra bölgesinde oturmasına izin verilen herhangi biri tarafından kendisine yardım edilmişse, değiştirilmelidir. Aynı duran saat periyodunda takımlardan birisine bir mola verilirse ve bu mola sırasında bu oyuncu iyileşirse ya da yardım tamamlanırsa sayı görevlisi mola için sesli işaretini, hakemin bir yedek oyuncuyu, bir oyuncu olması için çağırmasından önce verirse, oyuna devam edebilir.
Örnek 5-15: A1 sakatlanır ve oyun durdurulur. A1, hemen oynamaya devam edemediğinden dolayı hakem bir değişiklik için bilinen işaretini yaparak düdüğünü çalar. İki takımdan birisi bir mola ister: (a) A1'le değişecek bir yedek oyuncu oyuna girmeden önce. (b) A1'le değişecek bir yedek oyuncu oyuna girdikten sonra. Mola bitiminde A1, iyileşmiş görülür ve oyunda kalmak ister.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"(a) Eğer A1, mola sırasında iyileşirse oynamaya devam edebilir. (b) A1’in yerine bir yedek oyuncu oyuna girmiştir bu nedenle A1, bir sonraki oyun saatinin çalı…",Yukarıdakilerin hiçbiri,,,A,"(a) Eğer A1, mola sırasında iyileşirse oynamaya devam edebilir. (b) A1’in yerine bir yedek oyuncu oyuna girmiştir bu nedenle A1, bir sonraki oyun saatinin çalı…",,"(a) Eğer A1, mola sırasında iyileşirse oynamaya devam edebilir. (b) A1’in yerine bir yedek oyuncu oyuna girmiştir bu nedenle A1, bir sonraki oyun saatinin çalışma periyodu bitene kadar tekrar giremez."
19,Madde 5 Sakatlanma ve yardım,5-16,5-17,Örnek,"Madde 5 Sakatlanma ve yardım | 5-16
Açıklama: Başantrenörü tarafından oyuna başlayacağı belirtilen oyuncular bir sakatlık durumunda değiştirilebilirler. Bir sakatlık durumunda serbest atışlar arasında tedavi gören oyuncular değiştirilmelidir. Bu durumlarda rakipler de eğer isterlerse aynı sayıda oyuncu değiştirme hakkına sahiptirler.
Örnek 5-17: A1’e faul yapılır ve 2 serbest atış hakkı verilir. Birinci serbest atıştan sonra hakemler; (a) A1’de kanama tespit ederler ve A6 ile değiştirilir. B takımı 2 oyuncu değişikliği ister. (b) B1’de kanama tespit ederler ve B6 ile değiştirilir. A takımı 2 oyuncu değişikliği ister.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,free_throws,3,(a) B takımı sadece 1 oyuncu değiştirebilir. A6 ikinci serbest atışı kullanacaktır. (b) A takımı 1 oyuncu değiştirebilir. A1 ikinci serbest atışı kullanacaktır.,1 serbest atış,0 serbest atış,,A,(a) B takımı sadece 1 oyuncu değiştirebilir. A6 ikinci serbest atışı kullanacaktır. (b) A takımı 1 oyuncu değiştirebilir. A1 ikinci serbest atışı kullanacaktır.,,(a) B takımı sadece 1 oyuncu değiştirebilir. A6 ikinci serbest atışı kullanacaktır. (b) A takımı 1 oyuncu değiştirebilir. A1 ikinci serbest atışı kullanacaktır.
20,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-1,7-2,Örnek,"Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri | 7-1
Açıklama: Maçın belirlenmiş başlama saatinden en az 40 dakika önce, her takımın başantrenörü ya da takımın temsilcisi sayı görevlisine oynayacak takım üyelerinin isimleri ve numaraları ile birlikte takım kaptanının, başantrenörün ve birinci yardımcı antrenörün isimlerini içeren bir liste verecektir. Başantrenör, oyuncuların formalarındaki numaraların listede doğru olduğundan kişisel olarak sorumludur. Maçın belirlenmiş başlama saatinden en az 10 dakika önce her başantrenör maç kağıdını imzalayarak, takım üyelerinin isim ve numaralarının ve aynı zamanda başantrenörün, birinci yardımcı antrenörün ve kaptanın isimlerinin maç kağıdına doğru bir şekilde yazıldığını teyit edecektir.
Örnek 7-2: A takımı, takım listesini zamanında sayı görevlisine verir. 2 oyuncunun formalarındaki numaralarla listedeki numaralar aynı değildir ya da bir oyuncunun ismi maç kağıdında görünmemektedir. Bu, şu durumlarda fark edilirse: (a) Oyun başlamadan önce. (b) Oyun başladıktan sonra.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"(a) Herhangi bir yaptırım uygulanmadan yanlış numaralar düzeltilir ya da oyuncunun ismi maç kağıdına eklenir. (b) Hakem, her iki takımı dezavantajlı duruma düş…",Yukarıdakilerin hiçbiri,,,A,"(a) Herhangi bir yaptırım uygulanmadan yanlış numaralar düzeltilir ya da oyuncunun ismi maç kağıdına eklenir. (b) Hakem, her iki takımı dezavantajlı duruma düş…",,"(a) Herhangi bir yaptırım uygulanmadan yanlış numaralar düzeltilir ya da oyuncunun ismi maç kağıdına eklenir. (b) Hakem, her iki takımı dezavantajlı duruma düşürmeden uygun bir zamanda oyunu durdurur. Herhangi bir yaptırım uygulanmadan yanlış numaralar düzeltilir. Ancak, oyuncunun ismi maç kağıdına eklenemez."
21,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-1,7-3,Örnek,"Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri | 7-1
Açıklama: Maçın belirlenmiş başlama saatinden en az 40 dakika önce, her takımın başantrenörü ya da takımın temsilcisi sayı görevlisine oynayacak takım üyelerinin isimleri ve numaraları ile birlikte takım kaptanının, başantrenörün ve birinci yardımcı antrenörün isimlerini içeren bir liste verecektir. Başantrenör, oyuncuların formalarındaki numaraların listede doğru olduğundan kişisel olarak sorumludur. Maçın belirlenmiş başlama saatinden en az 10 dakika önce her başantrenör maç kağıdını imzalayarak, takım üyelerinin isim ve numaralarının ve aynı zamanda başantrenörün, birinci yardımcı antrenörün ve kaptanın isimlerinin maç kağıdına doğru bir şekilde yazıldığını teyit edecektir.
Örnek 7-3: A Takımının başantrenörü, sakat olan ya da oynayacağı düşünülmeyen oyuncuların oyun sırasında takım sırasında oturmalarına izin verilmesini ister.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,İzin verilir,izin verilmez,,,A,İzin verilir,,"Takımlar, takım sırasında oturmasına izin verilen en fazla 8 delegasyon üyelerinin kimlerden oluşacağına karar verebilirler."
22,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-4,7-5,Örnek,"Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri | 7-4
Açıklama: Maçın belirlenmiş başlama saatinden en az 10 dakika önce, her takımın başantrenörü maça başlayacak olan 5 oyuncusunu belirtecektir. Maç başlamadan önce sayı görevlisi bu 5 oyuncuyla ilgili yanlışlık olup olmadığını kontrol edecek ve yanlışlık varsa, hemen en yakın hakemi bilgilendirecektir. Eğer hata, maçın başlamasından önce fark edilirse, ilk 5 başlayan oyuncular düzeltilecektir. Eğer hata, maçın başlamasından sonra fark edilirse, hata dikkate alınmayacaktır.
Örnek 7-5: Sahada bulunan bir oyuncunun, oyuna başlayacak 5 oyuncudan birisi olmadığı fark edilir. Bu, şu durumlarda gerçekleşirse: (a) Oyun başlamadan önce. (b) Oyun başlamadıktan sonra.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,substitution,2,Oyuncu değişikliği yapılır,Oyuncu değişikliğine izin verilmez,,,A,Oyuncu değişikliği yapılır,,"(a) Bu oyuncu, herhangi bir yaptırım olmadan, maça başlaması gereken 5 oyuncudan birisi ile değiştirilecektir. (b) Hata dikkate alınmaz. Maç herhangi bir cezai yaptırım olmadan devam eder."
23,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-4,7-6,Örnek,"Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri | 7-4
Açıklama: Maçın belirlenmiş başlama saatinden en az 10 dakika önce, her takımın başantrenörü maça başlayacak olan 5 oyuncusunu belirtecektir. Maç başlamadan önce sayı görevlisi bu 5 oyuncuyla ilgili yanlışlık olup olmadığını kontrol edecek ve yanlışlık varsa, hemen en yakın hakemi bilgilendirecektir. Eğer hata, maçın başlamasından önce fark edilirse, ilk 5 başlayan oyuncular düzeltilecektir. Eğer hata, maçın başlamasından sonra fark edilirse, hata dikkate alınmayacaktır.
Örnek 7-6: Başantrenör sayı görevlisinden maç kağıdına maça başlayacak 5 oyuncusu için küçük ‘x’ koymasını ister.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Başantrenör kişisel olarak maça başlayacak 5 oyuncusu için maç kağıdında ‘Giren oyuncu’ bölümündeki oyuncunun numarasının yanına küçük ‘x’ koyarak işaretleyece…,Yukarıdakilerin hiçbiri,,,A,Başantrenör kişisel olarak maça başlayacak 5 oyuncusu için maç kağıdında ‘Giren oyuncu’ bölümündeki oyuncunun numarasının yanına küçük ‘x’ koyarak işaretleyece…,,Başantrenör kişisel olarak maça başlayacak 5 oyuncusu için maç kağıdında ‘Giren oyuncu’ bölümündeki oyuncunun numarasının yanına küçük ‘x’ koyarak işaretleyecektir.
24,Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri,7-4,7-7,Örnek,"Madde 7 Başantrenör ve birinci yardımcı antrenör: Görevleri ve yetkileri | 7-4
Açıklama: Maçın belirlenmiş başlama saatinden en az 10 dakika önce, her takımın başantrenörü maça başlayacak olan 5 oyuncusunu belirtecektir. Maç başlamadan önce sayı görevlisi bu 5 oyuncuyla ilgili yanlışlık olup olmadığını kontrol edecek ve yanlışlık varsa, hemen en yakın hakemi bilgilendirecektir. Eğer hata, maçın başlamasından önce fark edilirse, ilk 5 başlayan oyuncular düzeltilecektir. Eğer hata, maçın başlamasından sonra fark edilirse, hata dikkate alınmayacaktır.
Örnek 7-7: A takımının başantrenörü ve A takımının birinci yardımcı antrenörü diskalifiye edilir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"A takımı kaptanı, A takımı oyuncu-başantrenörü olarak devam edecektir.",Yukarıdakilerin hiçbiri,,,A,"A takımı kaptanı, A takımı oyuncu-başantrenörü olarak devam edecektir.",,"A takımı kaptanı, A takımı oyuncu-başantrenörü olarak devam edecektir."
